"","Address","Sale.Price","Sqr.Ft","Bedrooms","Baths","Neighborhood","Walk.Score","School.District"
"1","81 Waltham St #4,Boston, MA 02118","823000","758",NA,"1Bath","South End","99","RafaelHernandez"
"2","81 Waltham St #4,Boston, MA 02118","823000","758",NA,"1Bath","South End","99","MichaelJPerkins"
"3","81 Waltham St #4,Boston, MA 02118","823000","758",NA,"1Bath","South End","99","RichardJMurphy"
"4","81 Waltham St #4,Boston, MA 02118","823000","758",NA,"1Bath","South End","99","DrWilliamHendersonUpper"
"5","81 Waltham St #4,Boston, MA 02118","823000","758",NA,"1Bath","South End","99","BostonLatinAcademy"
"6","81 Waltham St #4,Boston, MA 02118","823000","758",NA,"1Bath","South End","99","CharlestownHigh"
"7","23 Upton St #3,Boston, MA 02118","3000000","2100","3","2.5","South End","99","MichaelJPerkins"
"8","23 Upton St #3,Boston, MA 02118","3000000","2100","3","2.5","South End","99","RafaelHernandez"
"9","23 Upton St #3,Boston, MA 02118","3000000","2100","3","2.5","South End","99","RichardJMurphy"
"10","23 Upton St #3,Boston, MA 02118","3000000","2100","3","2.5","South End","99","DrWilliamHendersonUpper"
"11","23 Upton St #3,Boston, MA 02118","3000000","2100","3","2.5","South End","99","BostonLatinAcademy"
"12","23 Upton St #3,Boston, MA 02118","3000000","2100","3","2.5","South End","99","CharlestownHigh"
"13","485 Harrison Ave #204,Boston, MA 02118","1125000","1178",NA,"1Bath","South End","99","RafaelHernandez"
"14","485 Harrison Ave #204,Boston, MA 02118","1125000","1178",NA,"1Bath","South End","99","MichaelJPerkins"
"15","485 Harrison Ave #204,Boston, MA 02118","1125000","1178",NA,"1Bath","South End","99","DrWilliamHendersonUpper"
"16","485 Harrison Ave #204,Boston, MA 02118","1125000","1178",NA,"1Bath","South End","99","RichardJMurphy"
"17","485 Harrison Ave #204,Boston, MA 02118","1125000","1178",NA,"1Bath","South End","99","CharlestownHigh"
"18","485 Harrison Ave #204,Boston, MA 02118","1125000","1178",NA,"1Bath","South End","99","BostonLatinAcademy"
"19","242 Shawmut Ave Ph,Boston, MA 02118","2985000","2432","3","3","South End","99","RafaelHernandez"
"20","242 Shawmut Ave Ph,Boston, MA 02118","2985000","2432","3","3","South End","99","MichaelJPerkins"
"21","242 Shawmut Ave Ph,Boston, MA 02118","2985000","2432","3","3","South End","99","DrWilliamHendersonUpper"
"22","242 Shawmut Ave Ph,Boston, MA 02118","2985000","2432","3","3","South End","99","RichardJMurphy"
"23","242 Shawmut Ave Ph,Boston, MA 02118","2985000","2432","3","3","South End","99","CharlestownHigh"
"24","242 Shawmut Ave Ph,Boston, MA 02118","2985000","2432","3","3","South End","99","BostonLatinAcademy"
"25","66 Appleton #2,Boston, MA 02116","587000","492",NA,"1Bath","South End","99","RafaelHernandez"
"26","66 Appleton #2,Boston, MA 02116","587000","492",NA,"1Bath","South End","99","MichaelJPerkins"
"27","66 Appleton #2,Boston, MA 02116","587000","492",NA,"1Bath","South End","99","RichardJMurphy"
"28","66 Appleton #2,Boston, MA 02116","587000","492",NA,"1Bath","South End","99","DrWilliamHendersonUpper"
"29","66 Appleton #2,Boston, MA 02116","587000","492",NA,"1Bath","South End","99","CharlestownHigh"
"30","66 Appleton #2,Boston, MA 02116","587000","492",NA,"1Bath","South End","99","BostonLatinAcademy"
"31","424 Gallivan Blvd,Boston, MA 02124","729000","1326","4","1.5","Ashmont / Adams","84","RafaelHernandez"
"32","424 Gallivan Blvd,Boston, MA 02124","729000","1326","4","1.5","Ashmont / Adams","84","MichaelJPerkins"
"33","424 Gallivan Blvd,Boston, MA 02124","729000","1326","4","1.5","Ashmont / Adams","84","RichardJMurphy"
"34","424 Gallivan Blvd,Boston, MA 02124","729000","1326","4","1.5","Ashmont / Adams","84","DrWilliamHendersonUpper"
"35","424 Gallivan Blvd,Boston, MA 02124","729000","1326","4","1.5","Ashmont / Adams","84","BostonLatinAcademy"
"36","424 Gallivan Blvd,Boston, MA 02124","729000","1326","4","1.5","Ashmont / Adams","84","TheEnglishHigh"
"37","6 Ashmont St #3,Boston, MA 02124","635000","1449","3","2","Dorchester's Ashmont","84","MichaelJPerkins"
"38","6 Ashmont St #3,Boston, MA 02124","635000","1449","3","2","Dorchester's Ashmont","84","RafaelHernandez"
"39","6 Ashmont St #3,Boston, MA 02124","635000","1449","3","2","Dorchester's Ashmont","84","RichardJMurphy"
"40","6 Ashmont St #3,Boston, MA 02124","635000","1449","3","2","Dorchester's Ashmont","84","DrWilliamHendersonUpper"
"41","6 Ashmont St #3,Boston, MA 02124","635000","1449","3","2","Dorchester's Ashmont","84","BostonLatinAcademy"
"42","6 Ashmont St #3,Boston, MA 02124","635000","1449","3","2","Dorchester's Ashmont","84","TheEnglishHigh"
"43","141 Savin Hill Ave Unit 33B,Boston, MA 02125","480000","785","2","1Bath","Boston","80","RafaelHernandez"
"44","141 Savin Hill Ave Unit 33B,Boston, MA 02125","480000","785","2","1Bath","Boston","80","MichaelJPerkins"
"45","141 Savin Hill Ave Unit 33B,Boston, MA 02125","480000","785","2","1Bath","Boston","80","RichardJMurphy"
"46","141 Savin Hill Ave Unit 33B,Boston, MA 02125","480000","785","2","1Bath","Boston","80","DrWilliamHendersonUpper"
"47","141 Savin Hill Ave Unit 33B,Boston, MA 02125","480000","785","2","1Bath","Boston","80","BostonLatinAcademy"
"48","141 Savin Hill Ave Unit 33B,Boston, MA 02125","480000","785","2","1Bath","Boston","80","TheEnglishHigh"
"49","160 GRAMPIAN Way,Boston, MA 02125","1149000","1940","3","2.5","Dorchester","61","MichaelJPerkins"
"50","160 GRAMPIAN Way,Boston, MA 02125","1149000","1940","3","2.5","Dorchester","61","RafaelHernandez"
"51","160 GRAMPIAN Way,Boston, MA 02125","1149000","1940","3","2.5","Dorchester","61","DrWilliamHendersonUpper"
"52","160 GRAMPIAN Way,Boston, MA 02125","1149000","1940","3","2.5","Dorchester","61","RichardJMurphy"
"53","160 GRAMPIAN Way,Boston, MA 02125","1149000","1940","3","2.5","Dorchester","61","TheEnglishHigh"
"54","160 GRAMPIAN Way,Boston, MA 02125","1149000","1940","3","2.5","Dorchester","61","BostonLatinAcademy"
"55","29 Gibson St Unit 2L,Boston, MA 02122","360000","726","2","1Bath","Dorchester's Fields Corner","86","MichaelJPerkins"
"56","29 Gibson St Unit 2L,Boston, MA 02122","360000","726","2","1Bath","Dorchester's Fields Corner","86","RafaelHernandez"
"57","29 Gibson St Unit 2L,Boston, MA 02122","360000","726","2","1Bath","Dorchester's Fields Corner","86","DrWilliamHendersonUpper"
"58","29 Gibson St Unit 2L,Boston, MA 02122","360000","726","2","1Bath","Dorchester's Fields Corner","86","RichardJMurphy"
"59","29 Gibson St Unit 2L,Boston, MA 02122","360000","726","2","1Bath","Dorchester's Fields Corner","86","TheEnglishHigh"
"60","29 Gibson St Unit 2L,Boston, MA 02122","360000","726","2","1Bath","Dorchester's Fields Corner","86","BostonLatinAcademy"
"61","43 Circuit St #1,Boston, MA 02119","413000","1097","3","1.5","Roxbury","80","RafaelHernandez"
"62","43 Circuit St #1,Boston, MA 02119","413000","1097","3","1.5","Roxbury","80","MichaelJPerkins"
"63","43 Circuit St #1,Boston, MA 02119","413000","1097","3","1.5","Roxbury","80","RichardJMurphy"
"64","43 Circuit St #1,Boston, MA 02119","413000","1097","3","1.5","Roxbury","80","DrWilliamHendersonUpper"
"65","43 Circuit St #1,Boston, MA 02119","413000","1097","3","1.5","Roxbury","80","TheEnglishHigh"
"66","43 Circuit St #1,Boston, MA 02119","413000","1097","3","1.5","Roxbury","80","BostonLatinAcademy"
