date, pm25, o3, no2, so2, co
2018/7/17, 43, 41, 6, , 2
2018/7/18, 44, 29, 6, , 1
2018/7/19, 32, 34, 8, , 1
2018/7/20, 32, 40, 9, , 2
2018/7/21, 39, 27, 5, , 1
2018/7/22, 31, 28, 1, , 1
2018/7/23, 25, , , , 
2018/4/2, 26, 31, 14, , 2
2018/4/3, 29, 32, 12, , 2
2018/4/4, 28, 27, 14, , 2
2018/4/5, 18, , , , 
2018/1/2, 48, , , , 
2018/1/3, 51, , , , 
2018/1/4, 67, , , , 
2018/1/5, 44, , , , 
2018/1/6, 38, , , , 
2018/1/7, 29, , , , 
2018/1/8, 42, , , , 
2018/1/9, 56, , , , 
2018/1/10, 55, , , , 
2018/1/11, 40, , , , 
2018/1/12, 41, , , , 
2018/1/13, 17, , , , 
2018/1/14, 22, , , , 
2018/1/15, 35, , , , 
2018/1/16, 41, , , , 
2018/1/17, 46, , , , 
2018/1/18, 42, , , , 
2018/1/19, 64, , , , 
2018/1/20, 74, , , , 
2018/1/21, 59, , , , 
2018/1/22, 57, , , , 
2018/1/23, 70, , , , 
2018/1/24, 41, , , , 
2018/1/25, 37, , , , 
2018/1/26, 36, , , , 
2018/1/27, 30, , , , 
2018/1/28, 44, , , , 
2018/1/29, 36, , , , 
2018/1/30, 27, , , , 
2018/1/31, 30, , , , 
2018/2/1, 36, , , , 
2018/2/2, 43, , , , 
2018/2/3, 37, , , , 
2018/2/4, 39, , , , 
2018/2/5, 35, , , , 
2018/2/6, 25, , , , 
2018/2/7, 37, , , , 
2018/2/8, 50, , , , 
2018/2/9, 56, , , , 
2018/2/10, 57, , , , 
2018/2/11, 46, , , , 
2018/2/12, 30, , , , 
2018/2/13, 38, , , , 
2018/2/14, 29, , , , 
2018/2/15, 47, , , , 
2018/2/16, 61, , , , 
2018/2/17, 51, , , , 
2018/2/18, 23, , , , 
2018/2/19, 39, , , , 
2018/2/20, 38, , , , 
2018/2/21, 24, , , , 
2018/2/22, 38, , , , 
2018/2/23, 26, , , , 
2018/2/24, 42, , , , 
2018/2/25, 32, , , , 
2018/2/26, 23, , , , 
2018/2/27, 34, , , , 
2018/2/28, 30, , , , 
2018/3/1, 35, , , , 
2018/3/2, 45, , , , 
2018/3/3, 16, , , , 
2018/3/4, 18, , , , 
2018/3/5, 19, , , , 
2018/3/6, 19, , , , 
2018/3/7, 19, , , , 
2018/3/8, 24, , , , 
2018/3/9, 28, , , , 
2018/3/10, 32, , , , 
2018/3/11, 33, , , , 
2018/3/12, 26, , , , 
2018/3/13, 17, , , , 
2018/3/14, 21, , , , 
2018/3/15, 24, , , , 
2018/3/16, 25, , , , 
2018/3/17, 28, , , , 
2018/3/18, 30, , , , 
2018/3/19, 30, , , , 
2018/3/20, 31, , , , 
2018/3/21, 31, , , , 
2018/3/22, 23, , , , 
2018/3/23, 24, , , , 
2018/3/24, 28, , , , 
2018/3/25, 25, , , , 
2018/3/26, 24, , , , 
2018/3/27, 30, , , , 
2018/3/28, 34, , , , 
2018/3/29, 43, 24, 22, 1, 3
2018/3/30, 58, 28, 10, , 2
2018/3/31, 49, 36, 4, , 1
2018/4/1, 21, 37, 4, , 1
2017/10/2, 39, , , , 
2017/10/3, 32, , , , 
2017/10/4, 36, , , , 
2017/10/5, 32, , , , 
2017/10/6, 38, , , , 
2017/10/7, 38, , , , 
2017/10/8, 37, , , , 
2017/10/9, 17, , , , 
2017/10/10, 8, , , , 
2017/10/11, 31, , , , 
2017/10/12, 37, , , , 
2017/10/13, 27, , , , 
2017/10/14, 28, , , , 
2017/10/15, 47, , , , 
2017/10/16, 19, , , , 
2017/10/17, 24, , , , 
2017/10/18, 29, , , , 
2017/10/19, 38, , , , 
2017/10/20, 47, , , , 
2017/10/21, 39, , , , 
2017/10/22, 41, , , , 
2017/10/23, 50, , , , 
2017/10/24, 57, , , , 
2017/10/25, 29, , , , 
2017/10/26, 15, , , , 
2017/10/27, 23, , , , 
2017/10/28, 22, , , , 
2017/10/31, 25, , , , 
2017/11/1, 23, , , , 
2017/11/2, 29, , , , 
2017/11/3, 27, , , , 
2017/11/4, 28, , , , 
2017/11/5, 17, , , , 
2017/11/6, 25, , , , 
2017/11/7, 24, , , , 
2017/11/8, 21, , , , 
2017/11/9, 28, , , , 
2017/11/10, 43, , , , 
2017/11/11, 32, , , , 
2017/11/12, 44, , , , 
2017/11/13, 57, , , , 
2017/11/14, 66, , , , 
2017/11/15, 44, , , , 
2017/11/16, 30, , , , 
2017/11/17, 39, , , , 
2017/11/18, 25, , , , 
2017/11/19, 39, , , , 
2017/11/20, 29, , , , 
2017/11/21, 26, , , , 
2017/11/22, 45, , , , 
2017/11/23, 37, , , , 
2017/11/24, 30, , , , 
2017/11/25, 37, , , , 
2017/11/26, 45, , , , 
2017/11/27, 23, , , , 
2017/11/28, 31, , , , 
2017/11/29, 37, , , , 
2017/11/30, 46, , , , 
2017/12/1, 36, , , , 
2017/12/2, 41, , , , 
2017/12/3, 46, , , , 
2017/12/4, 59, , , , 
2017/12/5, 45, , , , 
2017/12/6, 30, , , , 
2017/12/7, 32, , , , 
2017/12/8, 38, , , , 
2017/12/9, 37, , , , 
2017/12/10, 57, , , , 
2017/12/11, 45, , , , 
2017/12/12, 54, , , , 
2017/12/13, 46, , , , 
2017/12/14, 39, , , , 
