date, pm25, o3, no2, so2, co
2021/12/2, 56, , , , 
2021/11/2, 10, 22, 10, 1, 2
2021/11/3, 19, 19, 9, , 2
2021/11/4, 18, 15, 13, 1, 2
2021/11/5, 22, 21, 15, 1, 3
2021/11/6, 26, 21, 17, 1, 4
2021/11/7, 37, 23, 20, 1, 4
2021/11/8, 45, 22, 25, 1, 6
2021/11/9, 51, 25, 24, 1, 6
2021/11/10, 51, 19, 12, 1, 2
2021/11/11, 39, 22, 15, 1, 2
2021/11/12, 24, 29, 3, , 1
2021/11/13, 22, 26, 8, 1, 3
2021/11/14, 19, 15, 7, 1, 2
2021/11/15, 21, 15, 7, , 2
2021/11/16, 23, 17, 6, , 1
2021/11/17, 12, 23, 14, 1, 2
2021/11/18, 22, 35, 5, 1, 2
2021/11/19, 51, 19, 6, , 1
2021/11/20, 11, 21, 9, , 2
2021/11/21, 17, 22, 13, , 3
2021/11/22, 26, 24, 6, , 1
2021/11/23, 21, 22, 5, , 1
2021/11/24, 10, 22, 9, 1, 1
2021/11/25, 12, 22, 11, 1, 2
2021/11/26, 28, 14, 8, , 2
2021/11/27, 28, 23, 3, , 1
2021/11/28, 9, 24, 7, , 2
2021/11/29, 22, 21, 13, , 2
2021/11/30, 31, 21, 10, , 2
2021/12/1, 22, 14, 14, , 3
2021/10/2, 13, 29, 4, , 2
2021/10/3, 17, 13, 11, , 3
2021/10/4, 21, 18, 5, , 1
2021/10/5, 7, 16, 8, , 1
2021/10/6, 9, 15, 13, , 4
2021/10/7, 17, 19, 13, , 3
2021/10/8, 18, 22, 7, , 2
2021/10/9, 21, 23, 1, , 1
2021/10/10, 14, 26, 2, , 1
2021/10/11, 10, 23, 6, , 1
2021/10/12, 11, 27, 11, , 3
2021/10/13, 14, 32, 8, , 2
2021/10/14, 21, 25, 11, , 3
2021/10/15, 20, 24, 9, , 2
2021/10/16, 30, 33, 1, , 1
2021/10/17, 16, 22, 2, , 1
2021/10/18, 10, 18, 5, , 1
2021/10/19, 8, 22, 4, , 1
2021/10/20, 7, 27, 11, , 3
2021/10/21, 19, 40, 7, , 2
2021/10/22, 23, 34, 5, , 2
2021/10/23, 26, 18, 4, , 1
2021/10/24, 9, 18, 7, , 2
2021/10/25, 15, 18, 9, , 2
2021/10/26, 17, 25, 4, , 1
2021/10/27, 11, 21, 2, , 1
2021/10/28, 9, 21, 8, , 2
2021/10/29, 13, 25, 8, , 2
2021/10/30, 16, 26, 3, , 1
2021/10/31, 9, 22, 5, , 1
2021/11/1, 9, 22, 6, , 1
2021/9/2, 21, 26, 4, 1, 1
2021/9/3, 11, 15, 5, 1, 2
2021/9/4, 7, 13, 3, 1, 2
2021/9/5, 13, 26, 2, 1, 2
2021/9/6, 18, 32, 2, 1, 2
2021/9/7, 16, 27, 3, 1, 2
2021/9/8, 12, 40, 2, 1, 2
2021/9/9, 22, 34, 5, 1, 2
2021/9/10, 10, 18, 5, 1, 2
2021/9/11, 10, 30, 2, 1, 2
2021/9/12, 15, 37, 2, 1, 2
2021/9/13, 26, 28, 6, 1, 2
2021/9/14, 24, 26, 10, 1, 2
2021/9/15, 13, 36, 2, 1, 2
2021/9/16, 32, 20, 6, 1, 1
2021/9/17, 10, 13, 7, 1, 1
2021/9/18, 12, 19, 7, 1, 2
