date, pm25, o3, no2, so2, co
2021/12/2, 61, , , , 
2021/11/2, 19, 22, 13, 1, 4
2021/11/3, 22, 19, 12, , 3
2021/11/4, 24, 15, 11, 1, 3
2021/11/5, 21, 21, 16, 1, 5
2021/11/6, 30, 21, 17, 1, 5
2021/11/7, 41, 23, 17, 1, 6
2021/11/8, 48, 22, 22, 1, 6
2021/11/9, 55, 25, 24, 1, 7
2021/11/10, 55, 19, 14, 1, 3
2021/11/11, 42, 22, 13, 1, 4
2021/11/12, 26, 29, 4, , 2
2021/11/13, 26, 26, 8, 1, 4
2021/11/14, 22, 15, 6, 1, 3
2021/11/15, 24, 15, 7, , 3
2021/11/16, 26, 17, 8, , 3
2021/11/17, 14, 23, 16, 1, 4
2021/11/18, 25, 35, 9, 1, 3
2021/11/19, 54, 19, 8, , 2
2021/11/20, 15, 21, 11, , 3
2021/11/21, 16, 22, 14, , 4
2021/11/22, 26, 24, 9, , 3
2021/11/23, 24, 22, 9, , 2
2021/11/24, 13, 22, 10, 1, 3
2021/11/25, 16, 22, 14, 1, 5
2021/11/26, 28, 14, 13, , 4
2021/11/27, 43, 23, , , 
2021/11/30, 34, 21, 12, , 3
2021/12/1, 25, 10, 17, , 4
2021/10/2, 26, 29, 7, , 5
2021/10/3, 29, 14, 12, , 7
2021/10/4, 46, , 2, , 2
2021/10/5, 20, , 7, , 3
2021/10/6, 16, , 13, , 6
2021/10/9, 42, , 1, , 2
2021/10/10, 26, , 2, , 2
2021/10/11, 18, , 4, , 2
2021/10/12, 15, , 14, , 5
2021/10/13, 27, , 12, , 4
2021/10/14, 34, , 12, , 4
2021/10/15, 35, , 6, , 3
2021/10/16, 38, , 3, , 3
2021/10/17, 20, , 2, , 3
2021/10/18, 11, , 6, , 3
2021/10/19, 17, , 6, , 3
2021/10/20, 18, , 13, , 4
2021/10/21, 35, , 13, , 3
2021/10/22, 35, , 8, , 3
2021/10/23, 36, , 5, , 3
2021/10/24, 15, , 7, , 3
2021/10/25, 24, , 5, , 2
2021/10/26, 19, , 1, , 1
2021/10/27, 13, , 2, , 2
2021/10/28, 18, , 9, , 3
2021/10/29, 29, , 10, , 2
2021/10/30, 33, 26, 1, , 2
2021/10/31, 17, 22, 4, , 3
2021/11/1, 16, 22, 8, , 3
2021/9/2, 30, 26, 8, 1, 3
2021/9/3, 21, 15, 8, 1, 4
2021/9/4, 20, 13, 5, 1, 5
2021/9/5, 17, 26, 6, 1, 5
2021/9/6, 29, 32, 5, 1, 4
2021/9/7, 28, 27, 10, 1, 4
2021/9/8, 25, 40, 10, 1, 4
2021/9/9, 27, 34, 12, 1, 4
2021/9/10, 33, 18, 9, 1, 4
2021/9/11, 25, 30, 8, 1, 4
2021/9/12, 28, 37, 6, 1, 4
2021/9/13, 40, 28, 11, 1, 4
2021/9/14, 38, 26, 16, 1, 3
2021/9/15, 22, 36, 4, 1, 4
2021/9/16, 44, 20, 6, 1, 2
2021/9/17, 23, 13, 4, 1, 3
2021/9/18, 22, 19, 8, 1, 4
2021/9/19, 23, 18, 6, 1, 3
2021/9/20, 27, 19, 5, 1, 4
2021/9/21, 27, 20, 6, 1, 4
2021/9/22, 25, 24, 8, , 4
2021/9/23, 21, 30, 8, 1, 3
2021/9/24, 20, 24, 5, 1, 3
2021/9/25, 20, 26, 7, 1, 3
2021/9/26, 23, 24, 4, 1, 4
2021/9/27, 24, 36, 7, 1, 4
2021/9/28, 29, 23, 11, , 4
2021/9/29, 37, 19, 5, , 3
2021/9/30, 21, 11, 4, , 4
2021/10/1, 18, 13, 9, , 5
2021/8/2, 28, 27, 10, 1, 
2021/8/3, 33, 23, 10, 1, 1
2021/8/4, 30, 36, 10, 1, 1
2021/8/5, 41, 34, 9, , 
2021/8/6, 13, 38, 10, 1, 1
2021/8/7, 44, 45, 8, 1, 1
2021/8/8, 54, 33, 7, 1, 
2021/8/9, 57, 24, 6, 1, 
2021/8/10, 53, 26, 8, 1, 
2021/8/11, 22, 37, 8, 1, 
2021/8/12, 47, 42, 9, 1, 
2021/8/13, 47, 39, 12, 1, 
2021/8/14, 37, 33, 7, 1, 
2021/8/15, 41, 29, 7, 1, 
2021/8/16, 29, 27, 8, 1, 
2021/8/17, 28, 33, 10, 1, 1
2021/8/18, 36, 29, 9, 1, 2
2021/8/19, 29, 21, 5, 1, 2
2021/8/20, 26, 15, 9, 1, 3
2021/8/21, 24, 28, 11, 1, 3
2021/8/22, 26, 21, 4, 1, 1
2021/8/23, 16, 25, 3, 1, 1
2021/8/24, 19, 26, 11, 1, 4
2021/8/25, 24, 40, 13, 1, 5
2021/8/26, 58, 46, 12, 1, 5
2021/8/27, 60, 35, 13, 1, 4
2021/8/28, 55, 23, 2, 1, 2
2021/8/29, 17, 24, 5, 1, 4
2021/8/30, 20, 30, 8, 1, 4
2021/8/31, 29, 30, 11, 1, 4
2021/9/1, 36, 19, 14, 1, 4
2021/7/2, 38, 24, 4, 1, 
2021/7/3, 19, 10, 4, , 1
2021/7/4, 20, 12, 4, 1, 
2021/7/5, 24, 22, 6, 1, 
2021/7/6, 29, 42, 8, 1, 
2021/7/7, 51, 35, 12, 1, 1
2021/7/8, 61, 20, 4, 1, 
2021/7/9, 37, 12, 8, 1, 1
2021/7/10, 24, 18, 6, 1, 1
2021/7/11, 32, 26, 8, 1, 1
2021/7/12, 46, 29, 6, , 
2021/7/13, 32, 27, 4, , 
2021/7/14, 20, 13, 10, 1, 2
2021/7/15, 47, 30, 10, 1, 1
2021/7/16, 33, 40, 11, 1, 
2021/7/17, 55, 26, 5, 1, 1
2021/7/18, 35, 20, 5, 1, 
2021/7/19, 32, 14, 9, 1, 1
2021/7/20, 23, 32, 10, 1, 2
2021/7/21, 93, 38, 12, 1, 1
2021/7/22, 66, 27, 9, 1, 1
2021/7/23, 36, 27, 10, 1, 1
2021/7/24, 43, 27, 9, 1, 
2021/7/25, 37, 30, 5, 1, 
2021/7/26, 46, 42, 11, 1, 3
2021/7/27, 102, 37, 12, 1, 1
2021/7/28, 83, 17, 5, , 2
2021/7/29, 42, 28, 7, 1, 
2021/7/30, 32, 25, 9, , 
2021/7/31, 28, 20, 6, , 1
2021/8/1, 20, 28, 7, 1, 
2021/6/2, 30, 45, 12, , 
2021/6/4, 34, 26, 10, , 
2021/6/5, 33, 66, 8, 1, 1
2021/6/6, 49, 61, 7, 1, 1
2021/6/7, 56, 48, 12, 1, 
2021/6/8, 63, 40, 11, 1, 
2021/6/9, 54, 34, 11, , 
2021/6/10, 47, 22, 15, 1, 
2021/6/11, 32, 23, 5, 1, 
2021/6/12, 34, 33, 9, , 1
2021/6/13, 35, 36, 5, 1, 
2021/6/14, 37, 26, 13, , 
2021/6/15, 30, 16, 13, 1, 
2021/6/16, 28, 19, 12, , 
2021/6/17, 39, 18, 12, , 
2021/6/18, 29, 50, 11, 1, 
2021/6/19, 38, 44, 7, 1, 
2021/6/20, 45, 47, 5, , 
2021/6/21, 38, 32, 10, 1, 
2021/6/22, 59, 12, 9, , 
2021/6/23, 25, 23, 7, , 
2021/6/24, 30, 25, 9, 1, 1
2021/6/25, 35, 20, 7, 1, 
2021/6/28, 44, 42, 7, 1, 
2021/6/29, 55, 41, 8, 1, 
2021/6/30, 51, 43, 10, 1, 2
2021/7/1, 46, 26, 10, , 
2021/5/2, 18, 40, 8, 1, 
2021/5/3, 29, 27, 7, , 
2021/5/4, 26, 26, 5, , 
2021/5/5, 26, 23, 7, , 
2021/5/6, 25, 28, 10, , 
2021/5/7, 17, 23, 6, 1, 
2021/5/8, 16, 23, 5, , 1
2021/5/9, 21, 33, 5, , 
2021/5/10, 27, 28, 9, , 
2021/5/11, 28, 27, 9, 1, 
2021/5/12, 21, 27, 9, , 1
2021/5/13, 19, 30, 15, 1, 
2021/5/14, 26, 34, 14, , 1
2021/5/15, 37, 35, 10, 1, 
2021/5/16, 43, 40, 9, , 
2021/5/17, 38, 37, 13, , 1
2021/5/18, 43, 43, 16, , 
2021/5/19, 42, 32, 10, , 1
2021/5/20, 35, 30, 8, , 
2021/5/21, 33, 36, 11, , 
2021/5/22, 36, 49, 10, 1, 1
2021/5/23, 47, 31, 5, , 1
2021/5/24, 40, 31, 3, , 
2021/5/25, 24, 34, 8, , 
2021/5/26, 30, 45, , 1, 
2021/5/28, 37, 28, 3, , 
2021/5/29, 20, 29, 2, , 
2021/5/30, 24, 26, 3, , 
2021/5/31, 25, 21, 7, , 
2021/6/1, 26, 41, 7, 1, 
2021/4/2, 23, 28, 10, , 
2021/4/3, 22, 33, 16, , 1
2021/4/4, 23, 33, 16, 1, 2
2021/4/5, 27, 33, 12, 1, 
2021/4/6, 27, 28, 11, 1, 
2021/4/7, 19, 23, 15, 1, 2
2021/4/8, 20, 27, 8, , 
2021/4/9, 17, 28, 11, 1, 1
2021/4/10, 24, 38, 9, , 
2021/4/11, 30, 26, 3, 1, 
2021/4/12, 36, 26, 6, 1, 
2021/4/13, 22, 30, 11, 1, 2
2021/4/14, 28, 28, 4, , 
2021/4/15, 25, 28, 4, , 
2021/4/16, 28, 29, 11, , 
2021/4/17, 20, 24, 12, , 1
2021/4/18, 16, 27, 8, 1, 
2021/4/19, 25, 29, 16, 1, 2
2021/4/20, 36, 41, 16, 1, 
2021/4/21, 39, 38, 12, , 
2021/4/22, 35, 31, 8, , 
2021/4/23, 16, 36, 10, , 
2021/4/24, 18, 47, 11, , 
2021/4/25, 35, 42, 9, , 1
2021/4/26, 36, 24, 8, , 
2021/4/27, 19, 33, 14, , 
2021/4/28, 22, 30, 11, , 
2021/4/29, 38, 25, 8, , 
2021/4/30, 37, 28, 9, , 
2021/5/1, 19, 26, 6, , 
2021/3/2, 28, 28, 8, , 
2021/3/3, 21, 29, 15, , 
2021/3/4, 30, 27, 12, , 
2021/3/5, 28, 29, 10, , 
2021/3/6, 19, 29, 9, , 
2021/3/7, 24, 28, 9, , 
2021/3/8, 22, 27, 17, , 1
2021/3/9, 27, 32, 16, 1, 
2021/3/10, 35, 29, 15, 1, 1
2021/3/11, 37, 44, 16, 1, 
2021/3/12, 55, 35, 13, , 
2021/3/13, 35, 30, 7, , 
2021/3/14, 20, 32, 7, , 
2021/3/15, 21, 30, 12, , 
2021/3/16, 24, 26, 17, 1, 1
2021/3/17, 25, 33, 16, , 
2021/3/18, 36, 26, 16, , 1
2021/3/19, 53, 30, 10, , 
2021/3/20, 23, 32, 19, , 1
2021/3/21, 28, 34, 19, 1, 3
2021/3/22, 35, 33, 18, , 1
2021/3/23, 38, 28, 18, 1, 2
2021/3/24, 35, 21, 15, 1, 1
2021/3/25, 40, 24, 16, 1, 
2021/3/26, 42, 27, 8, 1, 
2021/3/27, 33, 27, 4, , 
2021/3/28, 15, 24, 3, 1, 
2021/3/29, 23, 28, 8, 1, 
2021/3/30, 18, 36, 14, , 
2021/3/31, 22, 36, 9, , 
2021/4/1, 29, 27, 10, , 
2021/2/2, 39, 25, 9, , 
2021/2/3, 19, 26, 15, , 
2021/2/4, 35, 24, 21, 1, 
2021/2/5, 46, 21, 32, 1, 2
2021/2/6, 60, 28, 18, , 1
2021/2/7, 57, 18, 19, , 
2021/2/8, 48, 26, 19, , 1
2021/2/9, 53, 14, 28, 1, 
2021/2/10, 59, 25, 22, , 1
2021/2/11, 59, 26, 22, , 1
2021/2/12, 55, 24, 17, , 
2021/2/13, 38, 24, 9, 1, 
2021/2/17, 38, 27, 13, , 
2021/2/18, 23, 21, 15, 1, 
2021/2/19, 25, 20, 19, , 
2021/2/20, 33, 28, 18, , 
2021/2/21, 36, 30, 15, , 1
2021/2/22, 32, 28, 24, 1, 1
2021/2/23, 47, 33, 16, , 
2021/2/24, 41, 35, 14, , 
2021/2/25, 29, 30, 10, , 
2021/2/26, 24, 27, 13, , 
2021/2/27, 17, , , , 
2021/1/5, 30, 21, 20, , 
2021/1/6, 30, 21, 14, , 
2021/1/7, 32, 23, 12, , 
2021/1/8, 33, 23, 17, , 
2021/1/9, 33, 25, 17, , 
2021/1/10, 26, 25, 17, 1, 1
2021/1/11, 35, 9, 29, 1, 4
2021/1/12, 54, 16, 22, 1, 2
2021/1/13, 54, 16, 19, 1, 1
2021/1/14, 46, 6, 23, 1, 1
2021/1/15, 79, 19, 12, 1, 
2021/1/16, 50, 28, 5, , 
2021/1/17, 19, 23, 5, , 
2021/1/18, 20, 21, 9, , 
2021/1/19, 22, 20, 13, , 
2021/1/20, 27, 25, 16, , 
2021/1/21, 34, 21, 20, , 2
2021/1/22, 37, 18, 19, 1, 1
2021/1/23, 44, 25, 7, , 
2021/1/24, 20, 29, 5, , 
2021/1/25, 19, 26, 15, , 
2021/1/26, 25, 24, 17, 1, 
2021/1/27, 32, 15, 24, , 
2021/1/30, 51, 25, 12, , 
2021/1/31, 43, 17, 16, 1, 
2021/2/1, 48, 24, 13, , 
2020/10/2, 45, 18, 16, , 2
2020/10/3, 50, 24, 10, , 1
2020/10/4, 41, 25, 7, , 1
2020/10/5, 34, 19, 7, , 1
2020/10/6, 37, 28, 13, , 1
2020/10/7, 39, 33, 10, 1, 
2020/10/8, 38, 20, 6, , 
2020/10/9, 26, 21, 11, , 
